Landmark,Alternate Names,Construction,Destruction,Maps Photo Should Appear on,Construction or Demolition Notes,Manner of Destruction,Test Photo File Name,Image File Name,Image Type,Year of Image,Use Image?,Usage notes,Image Download Location,Image Credit at Download Location,Download URL,Description,X Location,Y Location,Notes,Alternate Image 1 File Name,Alternate Image 1 Image Type,Year of Alternate Image 1,Use Alternate Image 1?,Alternate Image 1 Usage Notes,Alternate Image 1 Download Location,Alternate Image 1 Credit at Download Location,Alternate Image 1 Download URL,Alternate Image 2 File Name,Alternate Image 2 Image Type,Year of Alternate Image 2,Use Alternate Image 2?,Alternate Image 2 Usage Notes,Alternate Image 2 Download Location,Alternate Image 2 Credit at Download Location,Alternate Image 2 Download URL,x,y
Lipscomb School,,"1906","1960","1929, 1952",,demolished,testimage3.png,lipscomb-school.jpg,photo,"1949",yes,"1928 or later, author and copyright uncertain",Nashville Library,City Property Photographs,https://nashville.contentdm.oclc.org/digital/collection/nr/id/146,Lipscomb School replaced the Fairfield Mansion and was replaced in turn by I-40 and the Hermitage Avenue off-ramp.,"5582","5787",,,,,,,,,,,,,,,,,,57.784595,41.736949
Livingstone Hall,,1880s,1960s,"1903, 1929, 1952",,burned,,livingstone-hall.jpg,photo,,no,"date, copyright and author uncertain",HBCU Digital Library,,https://hbcudigitallibrary.auctr.edu/digital/collection/FUPP/id/589/,"Livingstone Hall was a dormitory at Fisk University. It was named for David Livingstone (1813�1873), the Scottish physician, missionary, and explorer.","4664","5485",,,,,,,,,,,,,,,,,,48.414643,44.797020
Hays-Kiser House,Locust Hill,"1805",extant,"1871, 1903, 1929, 1952",,,testimage2.png,locust-hill.jpg,photo,,no,,Wikipedia,,https://en.wikipedia.org/wiki/Hays-Kiser_House,,,,834 Reeves Road,,,,,,,,,,,,,,,,,,
Lockeland School (1st),,"1898","1966","1903, 1929, 1952",,demolished,testimage1.png,lockeland-school-1914.jpg,photo,"1914",yes,before 1928,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3392,"Lockeland School was named for Lockeland, the home of Robert Weakley (1764�1845), located four blocks from the school. The house was named after Robert Weakley's wife, Jane Locke Weakley (1769�1838). ","5835","5327",18th and Lillian,,,,,,,,,,,,,,,,,60.356522,46.434527
Marathon Motor Works,,ca 1910,extant,"1871, 1903, 1929, 1952",,,testimage3.png,marathon-motor-works.jpg,photo,,yes,"1928 or later, copyright-free",Wikipedia,Kaldari,https://en.wikipedia.org/wiki/Marathon_Motor_Works,"Nashville Cotton Mills built the complex of buildings now known as Marathon Motor Works in stages in 1881, 1885, and 1887. The firm was reorganized due to the Panic of 1893 and emerged as Phoenix Cotton Mills. Phoenix Cotton Mills folded in 1908, and Marathon moved into the buildings in 1910. In 1912 a new office and showroom were added. The company produced as many as 10,000 vehicles a year, but poor management forced the closure of the factory in 1915. The Werthan Bag Company used part of site for a time to manufacture bags until they too abandoned it. Barry Walker began restoration of the derelict factory buildings in 1986, eventually purchasing and rehabbing the entire site. The complex now contains shops, artist studios, recording studios, a radio station, a film production company, and a winery.

music recording studios, numerous shops, a film production company, artist�s and photographer�s studios, a radio station, a distillery, a winery ","4799","5508",,,,,,,,,,,,,,,,,,49.792166,44.565408
Masonic Orphans and Widows Home,,"1892",,"1903",,assumed demolished,testimage1.png,masonic-orphans-and-widows-home-1.jpg,photo,,yes,,Nashville Library,,https://cdm15769.contentdm.oclc.org/digital/collection/nr/id/753/rec/1,More research,,,,masonic-orphans-and-widows-home-2.jpg,tinted photo,"1908",,,Nashville History blog,,https://nashvillehistory.blogspot.com/2008/09/inglewood-trivia.html,,,,,,,,,,
Maxwell House Hotel,,"1859","1961","1871, 1903, 1929, 1952",,burned,testimage3.png,maxwell-house-hotel-1925.jpg,photo,"1925",no,before 1928,Phorio,,https://en.phorio.com/file/543472553/,"John Overton Jr. (1821�1898) began construction of the hotel using slave labor in 1859, naming it after his wife, Harriett Maxwell Overton (1832�1899). After the Union Army occupied Nashville in 1862, the unfinished hotel was used as a barracks and a hospital, as well as a prison for captured Confederate soldiers, a number of whom were killed when a stairway collapsed in September 1863. The hotel formally opened in the fall of 1869, featuring ""steam heat, gas lighting, and a bath on every floor"". At 240 rooms it was Nashville's largest hotel when it opened. The Maxwell House Coffee brand was created at the hotel, its slogan ""good to the last drop"" having reportedly been uttered by President Theodore Roosevelt during a stay. The hotel was destroyed by a fire on Christmas night, 1961.","5100","5522",,maxwell-house-hotel.jpg,tinted photo,,yes,"date, copyright and author uncertain, appears to be before 1928",Phorio,,https://en.phorio.com/file/543472553/,maxwell-house-hotel-circa1915.jpg,,circa 1915,yes,befoe 1928,TSLA,Calvert,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=27593,52.862817,44.429270
May Hosiery Mills,,"1908",extant,"1929, 1952",,,testimage1.png,may-hosiery-mills.jpg,photo,,ask,"date, copyright and author uncertain",Tennessean,,https://www.tennessean.com/story/money/2019/05/27/may-hosiery-mill-nashville-sock-factory-readies-tech-future/3692995002/,"German immigrant Jacob May (1861�1946) founded May Hosiery Mills as Rock City Hosiery Mill, manufacturing socks with convict labor inside the state penitentiary on Church Street. By 1909 the company's name had changed, and operations had moved to Brown Street. From 1936 to 1939, Jacob's son Mortimer (1892�1974) made several trips to Germany to facilitate the immigration of 230 to 280 German Jews, saving them from the Holocaust. On arrival in Nashville many were provided with jobs in the factory. In the 1960s May manufactured all-cotton socks to NASA astronauts. The May family sold the factory in 1983, and it was closed two years later. ","5300","5991",,,,,,,,,,,,,,,,,,54.911939,39.649917
McFerrin Memorial Church,,"1867","1925","1871, 1903",,,testimage4.png,mcferrin-memorial-church.jpg,photo,,yes,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3399,,,,corner of foster and meridian,mcferrin-memorial-church-1887.jpg,,"1887",,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3074,,,,,,,,,,
Hall-Harding-McCampbell House,,circa 1805,extant,"1871, 1903, 1929, 1952",,,testimage2.png,mccampbell-house.jpg,photo,ask,no,"1928 or later, copyright unknown",Historic Nashville,,https://www.historicnashvilleinc.org/2017/10/23/hall-harding-mccampbell-house-restoration/,"Built by William Hall, the house was the center of a plantation that had several owners and varied in size in the years before 1852. In that year the McCampbell family purchased the property, and it stayed in that family until the 1940s. It was restored in 2016.","7233","5639",305 Kent Road,,,,,,,,,,,,,,,,,74.622958,43.283080
Medical College Hospital,,,,,,,testimage2.png,medical-college-hospital-ca1910.jpg,photo,ca 1910,yes,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3402,,,,"Second City Hospital?
South 3rd between Franklin and Peabody (1889 map 4)",,,,,,,,,,,,,,,,,,
Meharry Dental and Pharmacy Building ,,"1889",,"1903, 1929",,assumed demolished,testimage3.png,meharry-dental-and-pharmacy-building-1920s.jpg,photo,1920s,yes,,Metro Archives,,http://nashvillearchives.org/schools-photos.html,,,,,,,,,,,,,,,,,,,,,,
McKendree Methodist Church,,"1910",extant,"1929, 1952",,,testimage1.png,mckendree-methodist-church-1930s.png,photo,1930s,ask,"1928 or later, author and copyright uncertain",Nashville Library,Nashville Banner Archives,https://digital.library.nashville.org/digital/collection/nr/id/464/,"Four McKendree Methodist Church buildings have occupied this corner. President James K. Polk's funeral was held inside the first, built in 1833. That church was replaced by a larger structure in 1876, which burned it 1879. Its successor burned in 1905, and was replaced by the current church in 1910. Sadly the towers original to the 1910 church have since been removed.","5080","5553",,,,,,,,,,,,,,,,,,52.659400,44.112629
Meigs School (2nd),,"1934",extant,"1952",,,testimage2.png,meigs-school-2nd.jpg,photo,,,,Nashville History blog,,https://nashvillehistory.blogspot.com/2015/12/morgan-reeves-building-nashville-public.html,,"5441","5235",,,,,,,,,,,,,,,,,,56.335717,47.364204
Minton & Cooper Building,,,,,,assumed demolished,testimage4.png,minton-and-cooper-building-1877.jpg,photo,"1877",yes,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3692,,,,22 Market Street,,,,,,,,,,,,,,,,,,
Mitchell Building,,"1889",extant,"1903, 1929, 1952",,,testimage1.png,mitchell-building-ca1890.jpg,photo,ca 1890,yes,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3014,,,,323 Union Avenue,,,,,,,,,,,,,,,,,,
Meharry Main Building,,,,"1903, 1929",,assumed demolished,testimage4.png,meharry-main-building-1920s.jpg,photo,1920s,yes,before 1928,Metro Archives,,http://nashvillearchives.org/schools-photos.html,"The Meharry Main Building was located on the old Meharry Medical College campus between 1st Avenue South, Chestnut Street, and Wharf Avenue. The school departed for North Nashville in the late 1920s.","5398","5913",corner of maple and chestnut streets,,,,,,,,,,,,,,,,,55.910101,40.447682
Moore Memorial Church,,"1874",,"1903, 1929",,,testimage3.png,moore-memorial-church.jpg,photo,, ,,Nashville History on Facebook,Nashville in the 1890s by William Walker,https://www.facebook.com/nashvillehistory/photos/basw.AbrSLhbIw2HaogS_fwTcytV2E4oloGRSGR6TyWhdU7wxvqFiXbM3k0x9BZpQSzp3w96dtwObFq-tDuwHoU7KUyPfEanWljlfdx25aMTn_93vdugkAoxkGDgl3h9rKJ0XF_mMaL5p6HII5g8f30GstaWaAz0JvmVdIa5GIfSmv3N_gg/973325592863348/?opaqueCursor=Aboxgch0sxVnJ38YVMn6UTmsKv3igBoz-evWWya0gDJuJrnfJ_0yZvZ2qlrbr6l6tGOziBXW1ffvJ381uiB_qqlQru5hNwmm6FD7MRz6rLLFPohHEkNZe7P7pwjEr6pLbd5fmxLAKxta0qOCmDk30sGR6sEUiqv4apdtD0VCxasobPLdiC1H1bZvUCC8t7TLuL-8gY3SzetpBWqPnpSEMSA6BDSncnUWtaVb8_NVq4zsmaV3_yCyg9VjF8r8MnDGtEnVkbNgYoPa_JDQ2jjMd-5tp9hwyO-qAAgafMwHVHfjkBjQ98aPua3IC-pQ3QiwYWsiX_xYu4gzFEjaFMpSm-De2NrdTEPpAf_esBfxjQIQFaTxceuN1Tyv0x_Zkg_9qA_HwUoZAU-VUaQbLd9WEQ7eeHNNROXd6DfBaig2pKiOM8YIw4O_vxP81CbdbpZlGtjxaciaKsR0_xLXQN4hwfU9vzTz-d1MhFKh2E7BcOSF49HxE4uURVu1eDeOlhdhMV7QhvjOqmFF3gHKh7wzMJFudpuV2gYx39D0JTS5aznhbZsNEBbpxvnB5E9Z_r-zKkUT9mam4oqX7HR1NhtMlpbCbDp3HHjwIe-FgIcHtfmJG_aduCBDOTI_S35TdQKmzM_5utFu8UjMT5C2AzAQ0NYC,,,,"South side of Broadway across from 15th Avenue (1908 maps, plate 9). Now the site of Nashville Hyundai. 1507-09 Broad Street.",,,,,,,,,,,,,,,,,,
Montgomery Bell Academy,,ca 1881,"1942","1903, 1929",,burned,testimage2.png,montgomery-bell-academy-1905.jpg,photo,ca 1905,yes,before 1928,Nashville History blog,Southern Education Association,https://nashvillehistory.blogspot.com/2015/09/nashville-points-of-interest-1905.html,"On his death entrepreneur Montgomery Bell (1769�1855) left the University of Nashville $20,000 to educate 10- to 14-year-old  boys who lacked the means to pay for their own education. Montgomery Bell Academy (MBA) began operation in 1867 as a department of the University of Nashville. In 1875 the university's dire finances forced a reorganization that separated MBA from the university, which was renamed the State Normal School. MBA continued at its Rutledge Hill campus until 1915 when it purchased the Tinsley family estate ""Totomoi"" on West End Avenue.","5343","5739","Corner of Asylum and Lindsley, next to Peabody normal",,,,,,,,,,,,,,,,,55.345729,42.221257
Morgan-Reeves Building,,"1855","1975","1871, 1903, 1929, 1952",,demolished,testimage4.png,morgan-reeves-building.png,photo,,yes,"1928 or later, copyright-free",LoC,,https://www.loc.gov/resource/hhh.tn0024.photos,"The Morgan-Reeves Building was built the year before the 1856 fire in the Public Square that destroyed a number of commercial buildings and the 1830 courthouse. The fire began in the Nashville Inn on the north side of the square and, propelled by strong northerly winds, leaped across Bridge Street and consumed the courthouse. The four-story brick walls of the Morgan-Reeves building stopped the westward progress of the fire. The site of the Morgan-Reeves Building is now occupied by the downtown campus of the Sheriff's Office.","5107","5431",,,,,,,,,,,,,,,,,,52.932475,45.357621
Mount Olivet Cemetery Chapel,,1870s,"2015","1903, 1929, 1952",,burned,testimage3.png,mount-olivet-cemetery-chapel.jpg,photo,, ,,Nashville Library,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=27807,,,,,,,,,,,,,,,,,,,,,,
Mount Olivet Cemetery Gatehouse,,,,,,,testimage4.png,mount-olivet-cemetery-gatehouse.jpg,photo,, ,,Nashville Library,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=27661,,,,,,,,,,,,,,,,,,,,,,
N&C Depot,,before 1860,,,,,testimage2.png,n&c-depot-1864-1.jpg,photo,"1864",yes,,Nashville Library,,https://www.loc.gov/item/2018667001/,,,,,n&c-depot-1864-2.jpg,,"1864",,,Nashville Library,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3416,,,,,,,,,,
Napier School,,"1897",,"1903, 1929, 1952",Probably demolished after 1966,demolished,testimage3.png,napier-school-1949.jpg,photo,"1949",,,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/147/rec/431,,,,corner of Robinson and Fairfield,,,,,,,,,,,,,,,,,,
Nashville Banner Building,,?,extant,"1903, 1929, 1952",,,testimage1.png,nashville-banner-building-ca1910.jpg,photo,ca 1910,yes,,Nashville Library,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3667,,,,"1920 fire drove the Banner to 3rd Avenue, where they were located until 1938. An 1894 fire in an unknown building destroyed the Banner newsroom.",,,,,,,,,,,,,,,,,,
Vauxhall Apartments,Nashville College for Young Ladies,"1892","1949","1903, 1929",,demolished,testimage2.png,nashville-college-for-young-ladies-2.jpg,photo,,,,Nashville Library,,https://nashvillehistory.blogspot.com/2018/05/vauxhall-nashville.html,,,,,nashville-college-for-young-ladies-1.jpg,,,,,Nashville Library,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3081,,,,,,,,,,
Morris Memorial Building,,"1926",extant,"1929, 1952",,,testimage2.png,morris-memorial-building-ca1925.jpg,photo,ca 1925,yes,before 1928,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=27807,"Named for Elias Camp Morris (1855�1922), longtime president of the National Baptist Convention, the Morris Memorial Building was built to house the denomination's publishing arm, the Sunday School Publishing Board. The Commercial Hotel, which had stood on the site for many years, contained a slave market before the Civil War.","5084","5455",,morris-memorial-building-1924.jpg,photo,"1924",yes,before 1928,U of Mass,,https://credo.library.umass.edu/view/full/mums312-i0283,,,,,,,,,52.698322,45.112313
Nashville & Decatur Depot,,"1868",2000s,"1871, 1903, 1929, 1952",,demolished,testimage4.png,nashville&decatur-depot.jpg,photo,,,,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/11,,,,corner of Chestnut Street and Fourth Avenue (Cherry Street),,,,,,,,,,,,,,,,,,
National Life and Accident Insurance Building,,"1924",circa 1968,"1929, 1952",,demolished,testimage2.png,national-life-and-accident-building.jpg,photo,, ,,Nashville Library,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3428,,,,northwest corner of Seventh Avenue and Union Street,,,,,,,,,,,,,,,,,,
NC&STL Office Building,,"1923","1965","1929, 1952",,demolished,testimage3.png,nc&stl-office-building.jpg,photo,,,,Nashville Library,,http://ncstl.com/cities/nashville/nvillegenofc.htm,,,,930 West Broadway,,,,,,,,,,,,,,,,,,
Nashville Trust Building,,"1925",extant,"1929, 1952",,,testimage1.png,nashville-trust-building-1925.jpg,photo,"1925",yes,before 1928,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/8794,The Nashville Trust Building is part of the historic Financial District.,,,,,,,,,,,,,,,,,,,,,
Nichol Building,,,extant,,,,testimage1.png,nichol-building-ca1921.jpg,photo,ca 1921, ,,Nashville Library,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3429,,,,,,,,,,,,,,,,,,,,,,
Noel Hotel,,"1930",extant,"1952",,,testimage2.png,noel-hotel.jpg,photo,,,,Nashville Library,,"https://en.phorio.com/noel_place,_nashville,_united_states",,,,,,,,,,,,,,,,,,,,,,
Negro Carnegie Library,,"1916",ca 1969,"1929, 1952",,,testimage4.png,negro-carnegie-library-ca1916.jpg,photo,ca 1916,yes,before 1928,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/2247,"The Negro Branch of the Nashville Public Library was the first public library for African-Americans in Nashville. The site chosen for the library was part of Fisk University's first campus (1866�1876), and before that an army hospital. The library closed in 1949, several years before desegregation came to Nashville's public libraries, and was replaced in 1952 by the Hadley Park Public Library. The site is now a Nashville Electric Service warehouse.","4914","5610",220 12th Ave. N.,,,,,,,,,,,,,,,,,50.967193,43.527558
North Edgefield Baptist Church,,"1892",,"1903, 1929, 1952",,demolished,testimage1.png,north-edgefield-baptist-church.jpg,photo,, ,,Nashville Library,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3430,,,,,north-edgefield-baptist-church-1970.jpg,,"1970",,,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/7083/,,,,,,,,,,
North Side of Public Square,,1855 and 1857,early 1980s,"1871, 1903, 1929, 1952",,demolished,testimage2.png,north-side-public-square-ca1959.jpg,photo,ca 1959,,,Nashville Library,,https://nashvillehistory.blogspot.com/2015/12/morgan-reeves-building-nashville-public.html,,,,,,,,,,,,,,,,,,,,,,
Oak Hill,,"1887",,"1903",,assumed demolished,,oak-hill.jpg,photo,ca 1910,,,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/2262/rec/1,,,,"4815 Franklin Pike, Nashville, TN 37220",,,,,,,,,,,,,,,,,,
Old Center School,,"1936",extant,"1952",,,testimage3.png,old-center-school-1981.jpg,photo,"1981",,,Nashville Retrospect on Facebook,,https://digital.library.nashville.org/digital/collection/nr/id/7174/rec/524,,,,,,,,,,,,,,,,,,,,,,
Old Hickory Suspension Bridge,,"1918",early 1930s,"1929",,demolished,testimage4.png,old-hickory-suspension-bridge.jpg,photo,"1918",,,NC&StL Preservation Society,,https://bridgehunter.com/tn/davidson/bh61258/,,,,,,,,,,,,,,,,,,,,,,
Old Howard School,,"1860",,"1871, 1903",,assumed demolished,testimage1.png,old-howard-school.jpg,photo,,,,Phorio,,,,,,,,,,,,,,,,,,,,,,,,
North Branch Library,,"1915",extant,"1929, 1952",,,testimage3.png,north-carnegie-library-1951.png,photo,"1951",ask,"1928 or later, author and copyright uncertain",Nashville Library,,https://www.flickr.com/photos/nashvillepubliclibrary/40833034693/in/album-72157704987081792/,"Built in 1915, the North Branch Library is one of two Carnegie libraries left in Nashville, and is the oldest building still in use as a public library in Nashville.","4803","5289",,,,,,,,,,,,,,,,,,49.828766,46.799287
Old Lindsley Hall,Lindsley Hall,"1854",,"1871, 1903",,demolished,testimage2.png,old-lindsley-hall-1864.jpg,photo,"1864",yes,before 1928,LoC, ,https://www.loc.gov/item/2018667003/,"In 1850 a cholera epidemic that had begun in January of the previous year, along with its perpetually weak financial state, forced the University of Nashville to suspend operations for several years. Its president, Philip Lindsley (1786�1855), resigned the same year. At about the same time and possibly related to the closure of the school, 3rd Avenue South was extended and the main building of the university, Cumberland Hall, which had stood directily in the path of the street, was demolished. 
In preparation for the reopening of the school, a new building, called the Stone Building and later the Chapel Building, was erected in 1853 on a 30-acre plot two blocks south of the old campus. Prior to that time the only building on the land had been the chancellor's residence. The following year the university's merger with the Western Military Institute necessitated a dormitory to house the students, so the building pictured above was built. This dormitory was called Lindsley Hall during its existence, but at some point in the early 20th century it was razed and the Chapel Building took the name Lindsley Hall.","5318","5728",,old-lindsley-hall.jpg,photo,,yes,"date, copyright and author uncertain, appears to be before 1928",TeVA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=27976,,,,,,,,,55.090503,42.332904
Cameron School,Old Pearl School,"1883",1940s,"1903, 1929",,assumed demolished,testimage1.png,old-pearl-cameron-school.png,photo,,,,TSLA,,https://www.cameronalumni.net/cameronhistory.htm,,,,217 5th Avenue South,,,,,,,,,,,,,,,,,,
Old Science Hall,,ca 1880,extant,"1903, 1929, 1952",,,testimage2.png,old-science-hall.jpg,photo,,,,TSLA,,https://commons.wikimedia.org/wiki/File:Vanderbilt_Benson_Science_Hall.jpg#filelinks,,,,,,,,,,,,,,,,,,,,,,
Overton Hall,,"1898","1951","1903, 1929",,demolished,testimage3.png,overton-hall.jpg,photo,,,,TSLA,,https://www.crievehallwomen.com/blog/crievehallhistory,,,,,,,,,,,,,,,,,,,,,,
Parrish House/Morrow House/Douglas Sanitarium,,,,"1903",,assumed demolished,testimage4.png,parrish-house/morrow-house/douglas-sanitarium.jpg,photo,, ,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=26156,,,,corner of Second and Peabody,,,,,,,,,,,,,,,,,,
Old Main Post Office,,"1934",extant,"1952",,,testimage4.png,old-main-post-office.jpg,tinted photo,,yes,"1928 or later, copyright-free",Wikipedia,,"https://commons.wikimedia.org/wiki/File:U.S._Post_Office,_Nashville,_Tenn_(74044).jpg#filelinks","In 1931 the Post Office Department decided to build a new main post office instead of adding onto the facility's existing space inside the Customs House. Property next to Union Station was selected, the Works Progress Administration provided the financing, and the new post office opened in November 1934. 
The downtown location worked well at a time when most mail moved by rail, but by the 1980s it was inefficient. When a new main post office was opened near the airport in 1986, the building on Broadway became a branch location. In 1996 Thomas Frist (1938�) of the Frist Foundation proposed that the old post office be used as an art museum. The city of Nashville purchased the building from the USPS in 1999, and in partnership with the foundation, converted the old post office into the Frist Center for the Visual Arts (now the Frist Art Museum), which opened in 2001.","5028","5664",,,,,,,,,,,,,,,,,,52.131098,42.979283
Parthenon,,"1897",extant,"1903, 1929, 1952",,,testimage1.png,parthenon-1938.png,photo,"1938 ",yes,"1928 or later, author and copyright uncertain",TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=18895,"By the late 19th century Nashville had become known in some quarters as the ""Athens of the South"" because of its abundance of colleges. The world's only full-size replica of the Greek Parthenon was created for the 1897 Tennessee Centennial Exposition as the physical expression of the nickname. Intended to last only as long as the fair, the building's exterior surfaces were made of plaster. Once the decision was made not to demolish the building at the end of the exposition, maintenance of the deteriorating plaster became an ongoing problem. Finally, in 1920 reconstruction of the building began, using reinforced concrete for the load-bearing structure and cast concrete aggregate for the exterior surfaces. The 1897 interior had been designed as a gallery space and so was not historically accurate, but the rebuilt Parthenon was designed to be an accurate replica inside and out. Exterior work was completed in 1925; the interior was completed in 1931. One missing element was the statue of Athena Parthenos that dominated the interior of the ancient Greek Parthenon. A donation box sat inside the Parthenon for many years, and by the early 1980s the fund had grown large enough for work on Athena to begin. Sculptor Alan Lequire (1955�) was selected to do the work, and the 42-foot, 12-ton cement Athena was unveiled in 1990. Further donations paid for the statue to be painted and gilded, work that was completed in 2002. ","4486","5851","""Soon after that [1931], the singing hillbillies and honky-tonkers came to town, and the Parthenon has been weirdly out-of-place ever since.""",,,,,,,,,,,,,,,,,46.605958,41.059897
Mayborn Building,"Manual Traing Building, Industrial Arts Building","1914",extant,"1929, 1952",,,testimage3.png,peabody-industrial-arts-building.jpg,photo,,yes,,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/818/rec/307,,,,,,,,,,,,,,,,,,,,,,
Wyatt Center,Social Religious Building,"1915",extant,"1929, 1952",,,testimage2.png,wyatt-center-ca1915.jpg,photo,circa 1915,yes,before 1928,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=28238,"The Social Religious Building has at various times held a Naval ROTC department, a music library, a chapel and a swimming pool. Now it contains classrooms, meeting rooms and a recording and broadcast studio.","4750","6065",,,,,,,,,,,,,,,,,,49.303024,38.882948
"Pearl School, 1st",,"1883",1940s,"1903",,assumed demolished,testimage4.png,pearl-high-school-1st.jpg,photo,,ask,"date, copyright and author uncertain",Nashville Library,,https://library.nashville.org/blog/2018/09/nashvilles-first-schools-and-public-school-system,"Named for Joshua Pearl, the first superintendant of schools in Nashville, Pearl School was the first elementary school for African-American children. In 1897 the African-American high school was moved from Meigs School to Pearl. 20 years later Pearl High moved to North Nashville, and the building sat empty until 1924 when it became Pearl Junior High. In 1928 the school was renamed Cameron Junior High after a Pearl teacher that had been killed fighting in France just before the end of WWI. Finally, in 1940 Cameron Junior High moved to a new building on 1st Avenue South. ","5149","5669","5th Avenue South, building in use from 1883 to 1916",,,,,,,,,,,,,,,,,53.365468,42.930961
Phillips & Buttorff Building,,,"1960","1903, 1929, 1952",,,testimage2.png,phillips-and-buttorff-building.jpg,photo,,yes,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=27053,,,,"217, 219 and 221 North College Street",,,,,,,,,,,,,,,,,,
"Pearl High School, 2nd",,"1917",,"1929",,assumed demolished,testimage1.png,pearl-high-school-2nd.jpg,photo,,ask,"date, copyright and author uncertain",Nashville Library,,https://library.nashville.org/blog/2018/09/nashvilles-first-schools-and-public-school-system,Now the site of the Andrew Jackson Clubhouse of the Boys and Girls Clubs of Middle Tennessee.,"4726","5466","16th Ave N and Grant Street, building in use from 1917 to 1936",,,,,,,,,,,,,,,,,49.046716,44.992191
Polk Tomb,,"1850",extant,"1871, 1903, 1929, 1952",,,testimage1.png,polk-tomb-1939.png,photo,"1939 ",yes,"1928 or later, author and copyright uncertain",TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=18915,"After her death Sarah Polk (1803�1891) was buried next to her husband James K. Polk in his tomb. The tomb at that time sat in front of Polk Place, the house her husband had called home for just 30 days after retiring from the presidency, and in which she had continued to live for another 42 years. (The Polk Place location is shown in the photo.) In 1893 the tomb was moved to the grounds of the state capitol, and Polk Place was demolished in 1901.","5027","5542",,,,,,,,,,,,,,,,,,52.118557,44.223655
Pontotoc,,,,"1903, 1929",,demolished,testimage2.png,pontotoc.jpg,photo,,yes,before 1928,Nashville History on Facebook,,https://www.facebook.com/nashvillehistory/photos/basw.AbrSLhbIw2HaogS_fwTcytV2E4oloGRSGR6TyWhdU7wxvqFiXbM3k0x9BZpQSzp3w96dtwObFq-tDuwHoU7KUyPfEanWljlfdx25aMTn_93vdugkAoxkGDgl3h9rKJ0XF_mMaL5p6HII5g8f30GstaWaAz0JvmVdIa5GIfSmv3N_gg/973325592863348/?opaqueCursor=Aboxgch0sxVnJ38YVMn6UTmsKv3igBoz-evWWya0gDJuJrnfJ_0yZvZ2qlrbr6l6tGOziBXW1ffvJ381uiB_qqlQru5hNwmm6FD7MRz6rLLFPohHEkNZe7P7pwjEr6pLbd5fmxLAKxta0qOCmDk30sGR6sEUiqv4apdtD0VCxasobPLdiC1H1bZvUCC8t7TLuL-8gY3SzetpBWqPnpSEMSA6BDSncnUWtaVb8_NVq4zsmaV3_yCyg9VjF8r8MnDGtEnVkbNgYoPa_JDQ2jjMd-5tp9hwyO-qAAgafMwHVHfjkBjQ98aPua3IC-pQ3QiwYWsiX_xYu4gzFEjaFMpSm-De2NrdTEPpAf_esBfxjQIQFaTxceuN1Tyv0x_Zkg_9qA_HwUoZAU-VUaQbLd9WEQ7eeHNNROXd6DfBaig2pKiOM8YIw4O_vxP81CbdbpZlGtjxaciaKsR0_xLXQN4hwfU9vzTz-d1MhFKh2E7BcOSF49HxE4uURVu1eDeOlhdhMV7QhvjOqmFF3gHKh7wzMJFudpuV2gYx39D0JTS5aznhbZsNEBbpxvnB5E9Z_r-zKkUT9mam4oqX7HR1NhtMlpbCbDp3HHjwIe-FgIcHtfmJG_aduCBDOTI_S35TdQKmzM_5utFu8UjMT5C2AzAQ0NYC,"The site of the former Bailey Middle School, now the Nashville Classical Charter School.","5941","4955",,,,,,,,,,,,,,,,,,61.430648,50.231257
