Landmark,Also Known as,Construction,Destruction,Maps Photo Should Appear on,Construction or Demolition Notes,Manner of Destruction,Test Photo File Name,Image File Name,Year of Image,Use Image?,Usage notes,Image Download Location,Image Credit at Download Location,Download URL,Description,X Location,Y Location,Notes,Alternate Image 1,Alternate Image 1 Year,Alternate Image 1 Download Location,Alternate Image 1 Credit at Download Location,Alternate Image 1 Download URL,Alternate Image 2,Alternate Image 2 Year,Alternate Image 2 Download Location,Alternate Image 2 Credit at Download Location,Alternate Image 2 Download URL,X,y
Hume School,,1855,ca1910,"1871, 1903",,,testimage2.png,hume-high-school-1859.jpg,1859,yes,,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/297/rec/1,"In 1852 Alfred Hume, an Nashville teacher, was hired by the city council to tour cities in the Northeast and report on the workings of their puublic school systems. The report was delivered later that year and Nashville proceeded to establish its first public school. Hume School opened in February 1855, employing 12 teachers and serving the first through the twelfth grades. The high school students moved next door to Fogg School when it was built in 1874. Both schools were razed circa 1910 when Hume-Fogg High school was built on the site.",5055,5614,,hume-school.jpg,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=27584,,,,,,52.407,43.494
Hume-Fogg High School,,1912,extant,"1929, 1952",,,testimage4.png,hume-fogg-high-school-2.jpg,,,,Nashville Library,,https://library.nashville.org/blog/2018/09/nashvilles-first-schools-and-public-school-system,"Hume-Fogg High School replaced Nashville's first high school, Fogg High School, built in 1875 on the same property. In 1942 Hume-Fogg became a vocational-technical high school, and then in 1982 an academic magnet, which it remains to this day.",5063,5618,,hume-fogg-high-school-4.jpg,,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/1981/rec/778,hume-fogg-high-school-1.jpg,1912,Pinterest,,https://www.pinterest.com/pin/566820303071739692/,52.488,43.454
Jefferson Street Bridge,,1910,1992,"1929, 1952",,demolished,testimage4.png,jefferson-street-bridge-ca1911.jpg,,,,LoC,,https://cdm15769.contentdm.oclc.org/digital/collection/nr/id/598/rec/1,"A near-twin of the Shelby Avenue bridge and built just a year later, the Jefferson Street Bridge connects North Nashville and East Nashville. It was demolished in 1992 to make way for a replacement bridge, which opened in 1994.",5086,5245,,,,,,,,,,,,52.718,47.254
Jubilee Hall,,1876,extant,"1903, 1929, 1952",,,testimage3.png,jubilee-hall.jpg,1970,,,Wikipedia,,"https://commons.wikimedia.org/wiki/File:Fisk_University,_Jubilee_Hall,_Seventeenth_Avenue,_north,_Nashville_(Davidson_County,_Tennessee)_crop.jpg","Fisk University initially operated out of barracks left behind by Federal troops when their occupation of Nashville ended. This campus was near the current site of Union Station. By the 1870s growing enrollment and the deterioration of the barracks made finding a new location an urgent matter. Beginning in 1871, with the school in debt and its future in doubt, a group of students billed as the Jubilee Singers mounted a series of tours to save the school. During a year-long tour of Europe in 1873 and 1874, the group raised $50,000, enough to build Jubilee Hall. Jubilee Hall was not only the first building on Fisk's new campus, but the first permanent building in the US erected to provide college-level education to African-Americans. In its first years, Jubilee Hall housed the entire college; it now serves as a dormitory.",4642,5407,,,,,,,,,,,,48.182,45.579
Main Building 1st,"Kirkland Hall, 1st",1875,1905,1903,,burned,testimage1.png,kirkland-hall-1st-1875.jpg,1875,yes,,Vanderbilt,,https://www.vanderbilt.edu/trees/history/,"One of the first buildings constructed on the Vanderbilt campus, Kirkland Hall at one time contained all of the school's classrooms and labs, a chapel, the school's library, a museum, and a chapel. The original, two-towered Kirkland Hall was severely damaged by a fire in 1905.",4675,5880,,kirkland-hall-1st-1905.jpg,1905,Nashville History on Facebook,Southern Education Association,https://nashvillehistory.blogspot.com/2015/09/nashville-points-of-interest-1905.html,,,,,,48.532,40.779
Main Building 2nd,"Kirkland Hall, 2nd",1906,extant,"1929, 1952",,extant,testimage4.png,kirkland-hall-2nd-ca1910.jpg,circa 1910,,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=29291,"Kirkland Hall was rebuilt after a 1905 fire. The reconstructed building was a steel and concrete structure and had one tower instead of the original two. In its first 60 years Kirkland Hall had borne a number of names: Main Building, Old Main, University Hall, and College Hall, but in 1937 it was named for Vanderbilt's second chancellor, James Kirkland, and his wife, Mary Henderson Kirkland. ",4678,5884,,,,,,,,,,,,48.563,40.738
Kissam Hall,,1900,1958,"1903, 1929, 1952",,demolished,testimage2.png,kissam-hall-1913.jpg,1913,yes,,Cardcow,,https://www.cardcow.com/856274/nashville-tennessee-kissam-hall-vanderbilt-university/,Kissam Hall was a men's dormitory on the Vanderbilt campus. It stood on the ground now occupied by Alumni Lawn. ,4656,5904,,kissam-hall-ca1900.jpg,ca 1900,LoC,,https://www.loc.gov/item/2016808695/,,,,,,48.34,40.533
Lindsley Hall,Old Lindsley Hall,1854,,"1871, 1903",,demolished,testimage2.png,old-lindsley-hall-1864.jpg,1864,yes,,Pinterest, ,https://www.loc.gov/item/2018667003/,"In 1850 a cholera epidemic that had begun in January of the previous year, along with its perpetually weak financial state, forced the University of Nashville to suspend operations for several years. Its president, Philip Lindsley, resigned the same year. At about the same time and possibly related to the closure of the school, 3rd Avenue South was extended and the main building of the university, Cumberland Hall, which had stood directily in the path of the street, was demolished. 
In preparation for the reopening of the school, a new building, called the Stone Building and later the Chapel Building, was erected in 1853 on a 30-acre plot two blocks south of the old campus. Prior to that time the only building on the land had been the chancellor's residence. The following year the university's merger with the Western Military Institute necessitated a dormitory to house the students, so the building pictured above was built. This dormitory was called Lindsley Hall during its existence, but at some point in the early 20th century it was razed and the Chapel Building took the name Lindsley Hall.",5318,5728,,old-lindsley-hall.jpg,,TeVA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=27976,,,,,,55.089,42.338
Lipscomb School,,1906,1960,"1929, 1952",,demolished,testimage3.png,lipscomb-school.jpg,1949,,,Nashville History blog,,http://nashvillearchives.org/schools-photos.html,Lipscomb School replaced the Fairfield Mansion and was replaced in turn by I-40 and the Hermitage Avenue off-ramp.,5582,5787,,,,,,,,,,,,57.784,41.74
Livingstone Hall,,1880s,1960s,"1903, 1929, 1952",,burned,,livingstone-hall.jpg,,,,,,https://hbcudigitallibrary.auctr.edu/digital/collection/FUPP/id/589/,"Livingstone Hall was a dormitory at Fisk University. It was named for David Livingstone, the Scottish physician, missionary, and explorer.",4664,5485,,,,,,,,,,,,48.406,44.785
"Lockeland School, 1st",,1898,1966,"1903, 1929, 1952",,demolished,testimage1.png,lockeland-school-1914.jpg,1914,yes,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3392,"Lockeland School was named for Robert Weakley's home, Lockeland, four blocks from the school. The house was named after Robert Weakley's wife, Jane Locke Weakley. ",5835,5327,18th and Lillian,,,,,,,,,,,60.352,46.441
Marathon Motor Works,,ca 1910,extant,"1929, 1952",,,testimage3.png,marathon-motor-works.jpg,,,,Wikipedia,,https://en.wikipedia.org/wiki/Marathon_Motor_Works,"Nashville Cotton Mills built the complex of buildings now known as Marathon Motor Works in stages in 1881, 1885, and 1887. The firm was reorganized due to the Panic of 1893 and emerged as Phoenix Cotton Mills. Phoenix Cotton Mills folded in 1908, and Marathon moved into the buildings in 1910. In 1912 a new office and showroom were added. The company produced as many as 10,000 vehicles a year, but poor management forced the closure of the factory in 1915. The Werthan Bag Company used part of site for a time to manufacture bags until they too abandoned it. Barry Walker began restoration of the derelict factory buildings in 1986, eventually purchasing and rehabbing the entire site. The complex now contains shops, artist studios, recording studios, a radio station, a film production company, and a winery.

music recording studios, numerous shops, a film production company, artist's and photographer's studios, a radio station, a distillery, a winery ",4799,5508,,,,,,,,,,,,49.791,44.566
Maxwell House Hotel,,1859,1961,"1871, 1903, 1929, 1952",,burned,testimage3.png,maxwell-house-hotel-2.jpg,,,,Phorio,,https://en.phorio.com/file/543472553/,"John Overton Jr. began construction of the hotel using slave labor in 1859, naming it after his wife, Harriett Maxwell Overton. After the Union Army occupied Nashville in 1862, the unfinished hotel was used as a barracks and a hospital, as well as a prison for captured Confederate soldiers, a number of whom were killed when a stairway collapsed in September 1863. The hotel formally opened in the fall of 1869, featuring ""steam heat, gas lighting, and a bath on every floor"". At 240 rooms it was Nashville's largest hotel when it opened. The Maxwell House Coffee brand was created at the hotel, its slogan ""good to the last drop"" having reportedly been uttered by President Theodore Roosevelt during a stay. The hotel was destroyed by a fire on Christmas night, 1961.",5100,5522,,maxwell-house-hotel-1.jpg,,Phorio,,https://en.phorio.com/file/543472553/,maxwell-house-hotel-3.jpg,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=27593,52.865,44.432
May Hosiery Mills,,1908,extant,"1929, 1952",,,testimage1.png,may-hosiery-mills.jpg,,,,Tennessean,,https://www.tennessean.com/story/money/2019/05/27/may-hosiery-mill-nashville-sock-factory-readies-tech-future/3692995002/,"German immigrant Jacob May founded May Hosiery Mills as Rock City Hosiery Mill, manufacturing socks with convict labor inside the state penitentiary on Church Street. By 1909 the company's name had changed, and operations had moved to Brown Street. From 1936 to 1939, Jacob's son Mortimer made several trips to Germany to facilitate the immigration of 230 to 280 German Jews, saving them from the Holocaust. On arrival in Nashville many were provided with jobs in the factory. In the 1960s May manufactured all-cotton socks to NASA astronauts. The May family sold the factory in 1983, and it was closed two years later. ",5300,5991,,,,,,,,,,,,54.909,39.658
McKendree Methodist Church,,1910,extant,"1929, 1952",,,testimage1.png,mckendree-methodist-church-1930s.png,1930s,,,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/464/,"Four McKendree Methodist Church buildings have occupied this corner. James K. Polk's funeral was held inside the first, built in 1833. That church was replaced by a larger structure in 1876, which burned it 1879. Its successor burned in 1905, and was replaced by the current church in 1910. Sadly the towers original to the 1910 church have since been removed.",5080,5553,,,,,,,,,,,,52.661,44.116
Meharry Main Building,,,,"1903, 1929",,assumed demolished,testimage4.png,meharry-main-building-1920s.jpg,1920s,,,Metro Archives,,http://nashvillearchives.org/schools-photos.html,"The Meharry Main Building was located on the old Meharry campus between 1st Avenue South, Chestnut Street, and Wharf Avenue. The school departed for North Nashville in the late 1920s.",5398,5913,corner of maple and chestnut streets,,,,,,,,,,,55.908,40.454
"Meigs School, 1st",,1883,1933,"1903, 1929",,Hit by tornado,testimage1.png,first-meigs-school-1st.jpg,,,,Nashville History blog,,https://nashvillehistory.blogspot.com/2014/04/meigs-school.html,"Meigs School, at the time of its construction the only school for Black children in Nashville east of the river, replaced an earlier school in a rented building on Spring Street. It was designed to hold grades 1 through 8. In the mid 1880s, the failure of the city to provide any schooling for Black children beyond the 8th grade spurred a campaign for a new high school. Parents showed up at the all-white high school asking that their children be enrolled but were turned away. Meetings were held and parents petitioned the school board for a high school for their children. Responding to pressure, in 1886 the school board set aside the second floor of the newly built Meigs school as the first African-American high school in Nashville. In March 1933 Meigs School was destroyed by a tornado. A new school building opened on the same site the following year.",5446,5235,,,,,,,,,,,,56.386,47.368
Montgomery Bell Academy,,ca 1881,1942,"1903, 1929",,burned,testimage2.png,montgomery-bell-academy-1905.jpg,ca 1905,,,Nashville History blog,Southern Education Association,https://nashvillehistory.blogspot.com/2015/09/nashville-points-of-interest-1905.html,"On his death in 1855, entrepreneur Montgomery Bell left the University of Nashville $20,000 to educate 10- to 14-year-old  boys who lacked the means to pay for their own education. Montgomery Bell Academy (MBA) began operation in 1867 as a department of the University of Nashville. In 1875 the university's dire finances forced a reorganization that separated MBA from the university, which was renamed the State Normal School. MBA continued at its Rutledge Hill campus until 1915 when it purchased the Tinsley family estate ""Totomoi"" on West End Avenue.",5343,5739,"Corner of Asylum and Lindsley, next to Peabody normal",,,,,,,,,,,55.345,42.226
Morgan-Reeves Building,,1855,1975,"1871, 1903, 1929, 1952",,demolished,testimage4.png,morgan-reeves-building.png,,,,LoC,,https://www.loc.gov/resource/hhh.tn0024.photos,"The Morgan-Reeves Building was built the year before the 1856 fire in the Public Square that destroyed a number of commercial buildings and the 1830 courthouse. The fire began in the Nashville Inn on the north side of the square and, propelled by strong northerly winds, leaped across Bridge Street and consumed the courthouse. The four-story brick walls of the Morgan-Reeves building stopped the westward progress of the fire. The site of the Morgan-Reeves Building is now occupied by the Downtown Campus of the Sheriff's Office.",5107,5431,,,,,,,,,,,,52.936,45.359
Morris Memorial Building,,1926,extant,"1929, 1952",,,testimage1.png,morris-memorial-building-1924.jpg,1924,,,U of Mass,,https://credo.library.umass.edu/view/full/mums312-i0283,"The Morris Memorial Building was built by the African-American National Baptist Convention for its publishing arm, the Sunday School Publishing Board. The Commercial Hotel, which stood on the site for many years, before the Civil War contained a slave market.",5084,5455,"It stands on the site formerly occupied by the Commercial Hotel, which housed a slave market before the Civil War.",,,,,,,,,,,52.701,45.114
Morris Memorial Building,,1926,extant,"1929, 1952",,,testimage2.png,morris-memorial-building-ca1925.jpg,ca 1925, ,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=27807,"The Morris Memorial Building was built by the African-American National Baptist Convention for its publishing arm, the Sunday School Publishing Board. The Commercial Hotel, which stood on the site for many years, contained a slave market in the years before before the Civil War.",5084,5455,,,,,,,,,,,,52.701,45.114
Negro Carnegie Library,,1916,ca 1969,"1929, 1952",,,testimage4.png,negro-carnegie-library-ca1916.jpg,ca 1916,,,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/2247,"The Negro Branch of the Nashville Public Library was the first public library for African-Americans in Nashville. The site chosen for the library was part of Fisk University's first campus (1866-1876), and before that an army hospital. The library closed in 1949, several years before desegregation came to Nashville's public libraries, and was replaced in 1952 by the Hadley Park Public Library. The site is now a Nashville Electric Service warehouse.",4914,5610,220 12th Ave. N.,,,,,,,,,,,50.968,43.534
North Branch Library,,1915,extant,"1929, 1952",,,testimage3.png,north-carnegie-library-1951.png,1951,,,Nashville Library,,https://www.flickr.com/photos/nashvillepubliclibrary/40833034693/in/album-72157704987081792/,"Built in 1915, the North Branch Library is one of two Carnegie libraries left in Nashville. It's the oldest building still in use as a public library in Nashville.",4803,5289,,,,,,,,,,,,49.823,46.781
Old Main Post Office,,1934,extant,1952,,,testimage4.png,old-main-post-office.jpg,,,,TeVA,,"https://commons.wikimedia.org/wiki/File:U.S._Post_Office,_Nashville,_Tenn_(74044).jpg#filelinks","In 1931 the Post Office Department decided to build a new main post office instead of adding onto the facility's existing space inside the Customs House. Property next to Union Station was selected, the Works Progress Administration provided the financing, and the new post office opened in November 1934. 
The downtown location worked well at a time when most mail moved by rail, but by the 1980s it was inefficient. When a new main post office was opened near the airport in 1986, the building on Broadway became a branch location. In 1996 Thomas Frist of the Frist Foundation proposed that the old post office be used as an art museum. The city of Nashville purchased the building from the USPS in 1999, and in partnership with the foundation, converted the old post office into the Frist Center for the Visual Arts (now the Frist Art Museum), which opened in 2001.",5028,5664,,,,,,,,,,,,52.131,42.984
Parthenon,,1897,extant,"1903, 1929, 1952",,,testimage1.png,parthenon-1938.png,1938, ,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=18895,"By the late 19th century Nashville had become known in some quarters as the ""Athens of the South"" because of its abundance of colleges. The world's only full-size replica of the Greek Parthenon was created for the 1897 Tennessee Centennial Exposition as the physical expression of the nickname. Intended to last only as long as the fair, the building's exterior surfaces were made of plaster. Once the decision was made not to demolish the building at the end of the exposition, maintenance of the deteriorating plaster became an ongoing problem. Finally, in 1920 reconstruction of the building began, using reinforced concrete for the load-bearing structure and cast concrete aggregate for the exterior surfaces. The 1897 interior had been designed as a gallery space and so was not historically accurate, but the rebuilt Parthenon was designed to be an accurate replica inside and out. Exterior work was completed in 1925; the interior was completed in 1931. One missing element was the statue of Athena Parthenos that dominated the interior of the ancient Greek Parthenon. A donation box sat inside the Parthenon for many years, and by the early 1980s the fund had grown large enough for work on Athena to begin. Sculptor Alan Lequire was selected to do the work, and the 42-foot, 12-ton cement Athena was unveiled in 1990. Further donations paid for the statue to be painted and gilded, work that was completed in 2002. ",4486,5851,"""Soon after that [1931], the singing hillbillies and honky-tonkers came to town, and the Parthenon has been weirdly out-of-place ever since.""",,,,,,,,,,,46.599,41.062
"Pearl High School, 2nd",,1917,,1929,,assumed demolished,testimage1.png,pearl-high-school-2nd.jpg,,,,TSLA,,https://library.nashville.org/blog/2018/09/nashvilles-first-schools-and-public-school-system,Now the site of the Andrew Jackson Clubhouse of the Boys and Girls Clubs of Middle Tennessee.,4726,5466,"16th Ave N and Grant Street, building in use from 1917 to 1936",,,,,,,,,,,49.041,44.983
"Pearl School, 1st",,1883,1940s,1903,,assumed demolished,testimage4.png,pearl-high-school-1st.jpg,,,,TSLA,,https://library.nashville.org/blog/2018/09/nashvilles-first-schools-and-public-school-system,"Named for Joshua Pearl, the first superintendant of schools in Nashville, Pearl School was the first elementary school for African-American children. In 1897 the African-American high school was moved from Meigs School to Pearl. 20 years later Pearl High moved to North Nashville, and the building sat empty until 1924 when it became Pearl Junior High. In 1928 the school was renamed Cameron Junior High after a Pearl teacher that had been killed fighting in France just before the end of WWI. Finally, in 1940 Cameron Junior High moved to a new building on 1st Avenue South. ",5149,5669,"5th Avenue South, building in use from 1883 to 1916",,,,,,,,,,,53.365,42.936
Polk Tomb,,1850,extant,"1871, 1903, 1929, 1952",,,testimage1.png,polk-tomb-1939.png,1939, ,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=18915,"After her passing in 1891, Sarah Polk was buried in Polk's tomb next to her husband. The tomb at that time sat in front of Polk Place, the house her husband had called home for just 30 days after retiring from the presidency, and in which she had continued to live for another 42 years. (The Polk Place location is shown in the photo.) In 1893 the tomb was moved to the grounds of the state capitol, and Polk Place was demolished in 1901.",5027,5542,,,,,,,,,,,,52.12,44.226
Pontotoc,,,,"1903, 1929",,demolished,testimage2.png,pontotoc.jpg,,,,TSLA,,https://www.facebook.com/nashvillehistory/photos/basw.AbrSLhbIw2HaogS_fwTcytV2E4oloGRSGR6TyWhdU7wxvqFiXbM3k0x9BZpQSzp3w96dtwObFq-tDuwHoU7KUyPfEanWljlfdx25aMTn_93vdugkAoxkGDgl3h9rKJ0XF_mMaL5p6HII5g8f30GstaWaAz0JvmVdIa5GIfSmv3N_gg/973325592863348/?opaqueCursor=Aboxgch0sxVnJ38YVMn6UTmsKv3igBoz-evWWya0gDJuJrnfJ_0yZvZ2qlrbr6l6tGOziBXW1ffvJ381uiB_qqlQru5hNwmm6FD7MRz6rLLFPohHEkNZe7P7pwjEr6pLbd5fmxLAKxta0qOCmDk30sGR6sEUiqv4apdtD0VCxasobPLdiC1H1bZvUCC8t7TLuL-8gY3SzetpBWqPnpSEMSA6BDSncnUWtaVb8_NVq4zsmaV3_yCyg9VjF8r8MnDGtEnVkbNgYoPa_JDQ2jjMd-5tp9hwyO-qAAgafMwHVHfjkBjQ98aPua3IC-pQ3QiwYWsiX_xYu4gzFEjaFMpSm-De2NrdTEPpAf_esBfxjQIQFaTxceuN1Tyv0x_Zkg_9qA_HwUoZAU-VUaQbLd9WEQ7eeHNNROXd6DfBaig2pKiOM8YIw4O_vxP81CbdbpZlGtjxaciaKsR0_xLXQN4hwfU9vzTz-d1MhFKh2E7BcOSF49HxE4uURVu1eDeOlhdhMV7QhvjOqmFF3gHKh7wzMJFudpuV2gYx39D0JTS5aznhbZsNEBbpxvnB5E9Z_r-zKkUT9mam4oqX7HR1NhtMlpbCbDp3HHjwIe-FgIcHtfmJG_aduCBDOTI_S35TdQKmzM_5utFu8UjMT5C2AzAQ0NYC,"The site of the former Bailey Middle School, now the Nashville Classical Charter School.",5941,4955,,,,,,,,,,,,61.426,50.236
Protestant Hospital,,1918,1967,1929,,demolished,testimage3.png,protestant-hospital-1920.jpg,1920,yes,,TSLA,,https://wpln.org/post/saint-thomas-midtown-began-as-a-schism-100-years-later-its-returned-to-the-fold/,"In 1869 and 1871, businessman Samuel M. Murphy, who had made his fortune selling whiskey, bought two parcels of land bounded by Church Street, Patterson Street, 20th Avenue and 21st Avenue. He built an Italianate mansion on his tree-covered estate, where he lived until his death in 1900. In 1911 Buford College bought the property from Murphy's heirs and constructed a large brick building with two wings, the West Building, to serve as a school building. Buford College adopted the name Nashville College for Young Women (NCYW)around this time. 
Things must not have gone to plan for NCYW because the school lost the property to foreclosure. The promoters of a new hospital, Protestant Hospital, purchased the 10-acre plot in November 1918, with the hospital opening in March 1919. The mansion was used as a dormitory for the school of nursing, while the hospital filled the West Building. The hospital endured repeated financial difficulties during the first three decades of its existence, leading to the Tennessee Baptist Convention assuming control in 1948. At that time the hospital took the name Mid-State Baptist Hospital, changing it again to Baptist Hospital in 1964. In 1967 the West Building was razed to make space for a new 300-bed wing of the hospital.",4685,5747,"https://www.newspapers.com/image/111992436/

The Hospital opened on March 22, 1919, on Church Street near 20th Avenue on an old homestead of Samuel Murphy. The institution was planned by the Ministers' Alliance of Nashville and in 1924 had a bed capacity of 210. During the Depression, this Hospital merged with Baptist Hospital which then operated a hospital at Eighth Avenue and Union Street. The merged hospital went into receivership during the Depression but emerged as the modern day Baptist Hospital campus after World War II. 

The original 80-bed hospital consisted of the Murphy house, with two three-story additions. In 1924, a new building was constructed, expanding the hospital's bedcount to 210. In 1948, Protestant Hospital became Mid-State Baptist Hospital and was placed under the control of the Tennessee Baptist Convention. 
Protestant Hospital opened 1919 in two buildings on a 10-acre block on Church Street. ",,,,,,,,,,,48.632,42.136
Radnor Cutoff Railroad Bridge,,ca 1904,extant,"1929, 1952",,,testimage2.png,radnor-cutoff-railroad-bridge.jpg,,,,TSLA,,http://bridgehunter.com/tn/davidson/bh44580/,"So that trains could bypass the congested area near Union Station, around 1905 the L&N Railroad built the Radnor Cut-off, a 7.3-mile rail line between a point on its main northbound line in Inglewood and the Radnor Rail Yard in Woodbine. The bridge, along with the imposing trestle on its northern approach, was built as part of the cutoff.",6084,5515,,,,,,,,,,,,62.897,44.526
Renraw,,1855,extant,"1871, 1903, 1929, 1952",,,testimage3.png,renraw.jpg,, ,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3455,"Zachariah Stull acquired the land on which Renraw sits as part of a Revolutionary War land grant and built a log cabin on the west side of Gallatin Pike near Carolyn Avenue. His descendants built the house that later became known as Renraw. James C. Warner, founder of the Tennesse Coal, Iron and Railroad Company bought the house around 1886 and made it his summer home. When James passed away in 1895, his son Percy made it his home until about 1912, when he sold the property. Trevecca College moved in in 1914 and stayed until  they moved to their current location on Murfreesboro Pike in 1935. ",5719,4802,,,,,,,,,,,,59.162,51.791
River and Rail-Terminal,,1922,circa 1980,"1929, 1952",,demolished,testimage4.png,river-and-rail-terminal-1927.jpg,,,,TSLA,,https://www.flickr.com/photos/47953739@N08/8054469688,"The River and Rail Terminal replaced Nashville's century-old wharf. The four-level dock allowed cargo to be easily unloaded no matter the water level of the river, and the two-story warehouse above allowed for on-site storage of cargo. It was demolished about 1982 and replaced by Riverfront Park.",5200,5550,"June 1922, Boy Scout John H. DeWitt, Jr., started Nashville's first radio station (WDAA) on the Ward-Belmont Campus. Assisted by music teacher G. S. deLuca, he broadcast Enrico Caruso records to the opening of the River and Rail Terminal on the river at Broad Street. DeWitt was WSM radio station's chief engineer, 1932-1942, and president 1947-1968.",,,,,,,,,,,53.885,44.149
Riverwood,,1799,extant,"1871, 1903, 1929, 1952",,,testimage1.png,riverwood.png,,,,TSLA,,https://www.loc.gov/resource/hhh.tn0029.photos/?sp=1,"Riverwood began as a two-story Federal-style house, built by Phillip Phillips (1730-1797) between 1795 and 1797. After Phillips died, his wife Susannah ran the farm until her passing in 1805. The Phillips family sold the property in 1820, and it was sold again in 1829 to Alexander J. Porter (1771-1833). After Porter's death in 1833, his wife Susan built a new, larger house a few feet in front of the 1797 house. Susan and her son Alexander renovated the houses in 1851, adding the Greek revival facade and connecting the new house to the old. In 1859 the Porters sold the plantation to attorney and tennessee Supreme Court Justice William Cooper, who changed the name from Tammany Woods to Riverwood. Members of the Cooper family lived in the mansion until 1975. Since 1997 it has operated as an event venue.",6361,4690,,,,,,,,,,,,65.705,52.947
"Roger Williams University, 1st",,1874,burned,1903,,,testimage2.png,roger-williams-university-1st-1.jpg,,,,TSLA,,http://drpethel.com/exhibit/exhibits/show/up-from-the-cumberland--early-/item/19,"Roger Williams University grew out of classes for African-Americans conducted by minister and Welsh immigrant Daniel Phillips in his home beginning in 1864. The school moved to a church basement in 1865. In 1866 it changed its name to Nashville Normal and Theological Institute and moved to a former Union Army barracks. It followed those moves with a third in 1867, occupying a two-story frame building on the southeast corner of 16th Avenue and Ireland Street. In 1870 the board of trustees tried to buy the nearby Fort Gillem, but Fisk University managed to secure the property and established its campus there. In 1874 the school bought land on Hillsboro Pike just south and east of Vanderbilt University and began building a campus. The institute changed its name to Roger Williams University in 1883. 
In January 1905 a suspicious fire destroyed Centennial Hall, the university's main building. The school reopened but in April a second fire burned down a women's dormitory known as the Mansion House, the loss of which forced the school to close. The local Black community, upset about the closure of the school, raised $10,000 and bought land for a new campus on Whites Creek Pike. The school reopened in 1909 with its first African-American president, but never regained its financial footing. In 1927 it merged with the Howe Institute in Memphis (later Lemoyne Owen), and the Nashville campus closed in 1929.",4751,6052,,roger-williams-university-1st-2.jpg,,,?,?,,,,,,49.311,39.025
"Roger Williams University, 2nd",,1909,,1929,,,testimage1.png,roger-williams-university-2nd.png,1916,,,LoC,,https://www.loc.gov/resource/pan.6a10025/,"Roger Williams University grew out of classes for African Americans conducted by minister and Welsh immigrant Daniel Phillips in his home beginning in 1864. The school moved to a church basement (1865), changed its name to Nashville Normal and Theological Institute and moved to a former Union Army barracks (1866), and then occupied a two-story frame building on the southeast corner of 16th Avenue and Ireland Street (1867). In 1870 the board of trustees tried to buy the nearby Fort Gillem, but Fisk University bought it and established its campus there. In 1874 the school bought land on Hillsboro Pike just south and east of Vanderbilt University. In 1883 the institute became Roger Williams University. In January 1905 a suspicious fire destroyed Centennial Hall, the university's main building. The school reopened, but in April a second fire burned down a women's dormitory known as the Mansion House, which forced the school to close. The local Black community, upset about the closure of the school, raised $10,000 and bought land for a new campus on Whites Creek Pike. The school reopened in 1909 with its first African-American president but never regained its financial footing. In 1927 it merged with the Howe Institute in Memphis (later Lemoyne-Owen), and the Nashville campus closed in 1929.",4930,4676,,,,,,,,,,,,51.108,53.042
Ryman Auditorium,,1892,extant,"1903, 1929, 1952",,,testimage4.png,ryman-auditorium-ca1892.png,ca 1892, ,,Wikipedia,,https://teva.contentdm.oclc.org/digital/collection/p15138coll12/id/46/rec/11,"Businessman Thomas Ryman attended a revival meeting conducted by evangelist Sam Jones in 1885, planning to heckle the preacher but was converted to Christianity instead. The Ryman Auditorium opened as the Union Gospel Tabernacle in May 1892. Ryman and Jones intended the auditorium to be primarily a venue for religious revivals, especially Jones's, but it hosted other types of events from the beginning. At first there was no balcony - the balcony was added in 1897 to accommodate a reunion of Confederate veterans that coincided with the Tennessee Centennial Exposition. There was also no stage, just a pulpit and a small platform. In 1901 the stage was added to facilitate a performance of ""The Barber of Seville"" by the Metropolitan Opera. The Grand Ole Opry moved to the auditorium in 1943 and stayed for 30 years before leaving for suburban Pennington Bend. After the Opry's planned move was made public, the owner, radio station WSM, announced its intention to demolish the building. Efforts by local residents, politicians, and preservationists prevented demolition, but the Ryman sat largely unused and deteriorating for 20 years. New owners began efforts to repair and restore the building in 1989. Major additions and improvements were also made in 1994 and 2015. ",5121,5582,,,,,,,,,,,,53.08,43.821
Ryman House,,before 1885,1940,"1903, 1929",,demolished,testimage1.png,ryman-house.jpg,, ,,TeVA,,https://teva.contentdm.oclc.org/digital/collection/p15138coll12/id/45,"The home of businessman Thomas Ryman, whose conversion experience at an 1885 revival led him to build the Union Gospel Tabernacle for evangelist Sam Jones.",5258,5700,,,,,,,,,,,,54.477,42.622
